mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
OS08T0517700-01	1353	1167	1.232	0.140247992096	0.998430216034612
OS01T0300200-03	1745	1293	1.1667	0.0840468114491	0.996084821308716
OS01T0696000-02	3040	915	1.1214	0.118569994403	0.473816530926888
OS06T0650900-02	810	429	1.2492	0.115890710202	0.777103613701649
OS09T0410700-00	1460	1092	1.2866	0.18161950724	0.998244379022235
OS10T0432200-01	3258	750	0.8964	0.077264063018	0.052077949692633
OS01T0168000-01	442	213	0.9024	0.101136221453	0.441891212587543
OS04T0644675-00	1596	1596	0.9493	0.0557785983532	0.999551160394788
OS12T0150100-01	672	453	1.2602	0.0810248945397	0.765964792451137
OS01T0574600-01	1254	1026	1.0714	0.145449981636	0.995797029093265
OS08T0242800-02	2201	1719	1.1168	0.115092747506	0.999788461416578
OS02T0599700-01	3195	756	1.3009	0.112299624984	0.150840497203837
OS06T0182400-02	1266	978	1.0425	0.0853580030414	0.981725320917588
OS07T0259700-01	2013	1695	0.8838	0.0977118087921	0.999724306305298
OS04T0538300-00	318	318	1.2316	0.159701538872	0.903538756436392
OS02T0259100-02	2584	1896	0.9926	0.0817030576114	0.999757627202016
OS01T0927500-01	2143	1245	1.1156	0.111033532109	0.990189436166462
OS03T0810800-01	1169	846	1.1678	0.0824094570368	0.960417967478536
OS04T0650700-04	1187	555	1.171	0.105156436913	0.757238837323413
OS06T0607800-01	1695	1206	1.0504	0.0938345869361	0.993310743370547
OS05T0535200-01	2074	1209	0.5788	0.0315144625369	0.932168201686091
OS03T0687100-00	1494	324	1.2848	0.0515217419639	0.0898674889313345
OS06T0114000-01	662	81	1.0912	0.0230234505912	0.0467962631534821
OS01T0366501-01	2103	294	0.4771	0.0253125378478	0.00547146656264786
OS12T0205633-00	529	315	0.6527	0.0641852224363	0.386334086816646
OS10T0448000-00	997	318	0.6931	0.0612626449403	0.173340730770108
OS05T0509500-01	1999	1452	1.2484	0.110548968675	0.998864130558294
OS06T0661500-01	830	513	1.2822	0.112594917807	0.866299179767107
OS12T0139400-01	930	606	1.0572	0.121358727108	0.912333750365829
OS03T0565825-00	554	132	0.9365	0.0262294492211	0.0813695458986973
OS02T0585566-00	792	792	0.7944	0.125202841388	0.982533282713935
OS09T0518332-00	1443	735	1.2078	0.13588402187	0.929415710990056
OS03T0389900-02	1138	876	0.9826	0.0658537069419	0.955010751938622
OS12T0263800-01	1931	534	1.2533	0.13465678207	0.445344096622841
OS04T0664600-00	1350	1350	1.3064	0.12500384122	0.999582056700147
OS07T0613800-00	560	489	1.2078	0.14759802303	0.945033441336102
OS12T0506600-01	2035	462	1.3004	0.149726967206	0.318965758552154
OS02T0814200-02	659	417	1.1777	0.0645401066555	0.63647716091802
OS06T0731500-01	453	123	1.0461	0.0682084487671	0.192140653215801
OS05T0156800-01	3449	1470	0.9499	0.0448292816369	0.88905945802165
OS07T0113100-00	498	438	0.8722	0.134395889407	0.88440728552655
OS03T0737200-00	564	564	0.9958	0.0783841326513	0.887923993052301
OS01T0653100-00	1413	927	1.243	0.0917369554974	0.970912336549276
OS07T0435300-01	509	90	1.2141	0.0782615619249	0.180323207472841
OS07T0660433-00	1551	252	1.1197	0.0936245602481	0.0777347827276711
OS03T0601500-01	486	291	0.9563	0.0965090158145	0.568593379586367
OS02T0637900-01	943	648	1.1225	0.149603502777	0.960977182125197
OS05T0417000-00	892	840	1.3002	0.141070086898	0.992803776534668
OS07T0142100-00	527	132	1.2632	0.244117037413	0.843565027114534
OS10T0521900-01	1241	999	1.181	0.155013383745	0.996092459190814
OS10T0578600-02	2180	1158	1.2848	0.0845130885035	0.970925226197501
OS01T0900200-01	1574	807	0.9428	0.0773779770472	0.833671831830301
OS02T0199500-01	1957	1311	0.6935	0.0567778541837	0.986347203738153
OS07T0270950-01	2076	1416	1.0675	0.0691046301385	0.995594617507093
OS11T0676650-00	458	111	1.1144	0.0367406830165	0.11660841202709
OS04T0441900-03	1431	969	1.0016	0.0820924542135	0.968445778343964
OS10T0492000-01	1781	1755	1.1005	0.114726823465	0.999940767113819
OS01T0795050-01	1287	255	1.1578	0.08918770976	0.134337466049765
OS01T0967700-01	1304	828	0.9712	0.0907262923526	0.935943931695582
OS09T0500966-00	1083	321	1.2778	0.156195755877	0.605389696784219
OS02T0138600-01	1473	1128	1.1547	0.102853373657	0.994145303589991
OS11T0153600-01	2619	747	0.8855	0.0911172858859	0.234840753438316
OS10T0325750-00	2052	297	1.2578	0.0589059164599	0.0227331205131739
OS11T0146950-00	1135	267	0.9206	0.100094855762	0.192456074111748
OS10T0167900-00	1257	1200	1.1196	0.131798184481	0.998779101854654
OS07T0535600-00	930	930	0.9164	0.0810991683504	0.985167296594931
OS04T0612600-01	1207	864	1.2958	0.12325359644	0.983160579796939
OS06T0705300-02	1393	870	0.7917	0.0640231422548	0.899632812139063
OS03T0227500-02	3622	177	0.5831	-0.0112676951044	3.34288219516191e-05
OS12T0150500-00	573	573	1.3002	0.134083452919	0.966429587550127
OS05T0118900-01	1378	468	1.2127	0.08168378859	0.401532137269012
OS05T0102800-01	3868	2868	0.8862	0.0664150207173	0.999997600918561
OS08T0538100-00	1302	207	1.3254	0.196698200001	0.427180173286848
OS02T0715400-00	610	306	1.2672	0.0941910820561	0.587085033811523
OS03T0299700-01	1280	714	0.8729	0.137261663323	0.924613127873768
OS10T0104500-02	1089	744	0.9155	0.0901567938963	0.919656641682222
OS03T0621650-00	960	498	0.5881	0.02486436002	0.329526864929665
OS01T0862600-01	977	660	1.1312	0.132412717929	0.949538578294815
OS11T0117900-01	977	801	1.2628	0.119884737265	0.982097072075939
OS03T0802300-03	1869	1662	1.068	0.100508917869	0.999793089256803
OS06T0225300-01	2437	1851	0.884	0.100836489363	0.999802797764114
OS02T0612100-01	678	507	1.2397	0.145170687826	0.937062217647952
OS05T0324100-01	685	225	0.7214	0.0739212906332	0.206588287161148
OS01T0304000-01	546	183	1.1389	0.0940647143815	0.347084095666285
OS03T0246900-00	828	828	1.1682	0.147040321285	0.993042321831654
OS05T0537300-01	1971	774	0.725	0.069257597483	0.514206322391085
OS12T0176800-01	1899	1395	1.2095	0.121628202226	0.998771363175966
OS03T0411900-01	1765	1161	1.0747	0.172197664264	0.99707559724241
OS11T0209450-00	1302	414	1.2542	0.13095933618	0.554891412671366
OS08T0368777-00	1580	279	1.1133	0.0071889534333	0.0216552965556439
OS07T0198300-01	860	624	1.2866	0.173130680015	0.977202887080652
OS09T0403000-01	1110	741	1.2488	0.126318447317	0.964128003357956
OS09T0486000-00	558	558	1.2488	0.101474717759	0.934874426745671
OS11T0649600-01	1003	615	1.3526	0.131704420698	0.936622118446872
OS10T0413700-01	1717	1266	1.2708	0.136105962955	0.998295739354231
OS01T0934000-01	1659	1374	1.0149	0.10588516133	0.998704282024422
OS07T0603900-01	1896	1461	1.1583	0.127921475089	0.999334056459213
OS06T0110000-01	1925	1521	1.2533	0.120855702589	0.999550166660277
OS12T0502400-01	1352	888	0.8527	0.114855255479	0.966712451643053
OS12T0119800-01	1106	702	1.2277	0.0777674873805	0.893318358088653
OS12T0193100-02	1471	942	1.1637	0.108324285208	0.976015742792383
OS04T0609900-00	3325	2874	1.2208	0.0852134061849	0.999999665352483
OS03T0732700-01	465	330	1.2022	0.0213187599315	0.397068489990979
OS04T0468600-06	1087	342	1.1762	0.210345911451	0.806714140416376
OS03T0338800-01	638	138	1.1355	0.14404798463	0.409489452937701
OS06T0618000-01	1587	1200	1.2322	0.14080713682	0.997937807513606
OS04T0153475-00	1120	462	1.1076	0.0361262413276	0.32834978426447
OS05T0416400-00	1539	1476	0.9193	0.0261059935245	0.998195247637139
OS03T0167650-00	1697	462	0.7642	0.116693743194	0.265557774084144
OS02T0667500-01	1366	636	0.8757	0.0701497594493	0.62433144576532
OS08T0230800-01	2686	1392	0.7924	0.0813900414612	0.976614269716249
OS02T0525600-01	837	345	1.0875	0.0999325269496	0.517042485931052
OS03T0323100-01	989	300	0.7169	0.169679124729	0.548129344323296
OS12T0182000-00	589	579	1.2668	0.205275535623	0.989687974625555
OS06T0254700-01	1063	648	1.2157	0.131482742802	0.936631507717641
OS01T0118600-00	1683	1683	1.2782	0.125437284152	0.999939924367148
OS02T0586800-01	1373	960	0.958	0.126164110424	0.98529197351776
OS04T0225001-00	405	405	1.3038	0.0910015934235	0.836834446035952
OS06T0527500-02	1674	177	0.7728	0.132735071735	0.0459988675812334
OS08T0117100-01	1195	960	0.9344	0.133447219642	0.991255732238066
OS03T0787150-00	478	123	0.9422	0.0221650504673	0.0845293448654744
OS09T0539901-00	585	120	0.804	-0.0166221882516	0.0306242064745982
OS03T0861200-01	1482	525	0.9594	0.0483391989098	0.272581406531142
OS01T0212900-00	945	486	0.7185	0.115444152727	0.711507635588742
OS03T0105401-00	1097	420	0.7443	0.043212486303	0.227852352340103
OS03T0355800-01	1196	825	1.2426	0.0665173664887	0.93976045170988
OS03T0822033-00	576	153	1.3079	0.0674780140124	0.222344546351621
OS10T0126800-01	1642	1365	1.142	0.105129050091	0.998791859240305
OS05T0466200-01	2953	2610	1.0698	0.102516157993	0.999998955676518
OS03T0342900-04	1056	369	1.1023	0.11060567471	0.485857087749276
OS03T0619850-00	759	759	0.9417	0.0951829398233	0.969394725884083
OS12T0561900-01	1729	1458	1.2884	0.162156192384	0.99977369350925
OS01T0887700-01	1297	819	0.8695	0.117859588478	0.952426198418757
OS02T0672400-01	1546	1101	0.9697	0.114401870353	0.991562107159464
OS01T0522100-01	1015	318	1.0616	0.0927998336628	0.326572935001182
OS01T0270300-01	1600	975	1.3274	0.100350482728	0.975539611661548
OS06T0642300-00	924	924	1.2568	0.125406041807	0.99470343705763
OS07T0596000-01	2414	885	1.0279	0.119032270887	0.741850853804385
OS03T0669000-01	1816	1419	1.1802	0.108441140762	0.998933441591125
OS02T0159100-00	2497	372	1.1083	0.0160492164744	0.0062289096201647
OS10T0514550-00	1514	867	1.3239	0.0948330033756	0.947868559410922
OS12T0138800-01	3358	1293	1.054	0.0633992635666	0.777446905678081
OS07T0443700-00	1261	345	1.3114	0.121989003739	0.412571491659699
OS06T0652600-01	1885	1557	1.2476	0.0863023634986	0.99944687701441
OS02T0153300-01	3722	657	1.1075	0.13063244437	0.0250971963840386
OS01T0538000-01	1447	378	1.2829	0.156770587181	0.512228867094221
OS11T0592500-01	3219	1032	0.8141	0.0603411423965	0.299994596759933
OS12T0138700-00	610	591	0.8575	0.0235223063948	0.75275943996348
OS07T0170049-00	463	84	1.2944	0.181710572072	0.597974985853371
OS05T0164800-01	1402	1188	1.331	0.0970582242269	0.997160485803705
OS01T0786601-01	1485	486	1.2766	0.173324746284	0.755654263137764
OS01T0184900-01	2507	1926	1.1176	0.10798635039	0.999910571923361
OS11T0181200-01	617	240	1.2692	0.0950406995533	0.451864208607867
OS03T0780900-01	2098	1242	0.9114	0.0816444637659	0.982075970955084
OS06T0147250-00	354	354	1.0789	0.152453304986	0.898785283929194
OS08T0191650-01	3511	303	0.5955	0.0625526110625	0.000442606538469422
OS01T0958200-01	1610	1392	1.2258	0.132702540533	0.999483177879535
OS04T0685300-02	1125	618	1.2184	0.0793484453821	0.802990697600256
OS01T0892800-02	1832	1434	1.1411	0.0895464727432	0.998596575866637
OS10T0446600-01	3155	336	1.0335	0.0940434567765	0.00346904342155917
OS10T0507700-00	417	417	1.2692	0.169918245998	0.953895240913847
OS02T0176900-00	999	951	0.8422	0.0659113022722	0.979692486673407
OS01T0338401-01	5620	282	0.6713	0.0263118605176	1.43276946391143e-06
OS04T0492900-02	588	201	1.0975	0.0438467811492	0.184822184119439
OS04T0209300-01	4967	4539	1.2078	0.0962606947101	0.99999999998519
OS03T0231700-02	2163	1575	0.9968	0.116158562923	0.999304445496464
OS02T0593550-00	556	315	1.2978	0.0424375572175	0.423923215753883
OS05T0389000-01	1237	783	0.7529	0.0908967343338	0.906473787053885
OS02T0510000-01	3113	2205	1.2295	0.120283214097	0.999972490040858
OS11T0201124-00	1253	357	1.2252	0.130129784425	0.456423789784475
OS06T0531500-00	699	357	1.2062	0.100987856633	0.650744247190645
OS02T0227500-00	1107	1107	1.1806	0.100898731654	0.997042582143176
OS03T0152700-01	3246	1248	0.9644	0.0848682884191	0.807161257580444
OS02T0741000-00	558	327	1.2927	0.110643155079	0.722106714065598
OS02T0661400-00	681	681	1.179	0.122794805257	0.975627836267739
OS10T0469100-02	553	276	0.9745	0.102156256481	0.526723778750074
OS05T0227700-02	1946	1590	1.1526	0.0826363983673	0.999434112129984
OS07T0668900-02	1965	1440	0.9542	0.089046878581	0.997807600578382
OS09T0471200-00	2079	2079	0.7878	0.0867185994766	0.999982127760677
OS02T0785700-00	1274	942	1.3098	0.14159440772	0.992460141307
OS08T0244400-01	1499	1398	0.9269	0.0547167783442	0.998102191621506
OS04T0514500-01	4122	3084	0.8424	0.0741330686539	0.999999327964466
OS11T0167300-02	3018	2778	0.9507	0.0911115672873	0.999999586745859
OS03T0187000-01	1009	699	1.2274	0.148368797783	0.97190073127257
OS01T0648000-01	3389	2808	1.135	0.0916464247226	0.99999934909685
OS01T0601000-00	1730	1719	1.1596	0.125845988313	0.999944734979204
OS08T0493900-01	3204	2550	0.6784	0.09168648713	0.999994628841166
OS06T0715300-01	2066	1557	1.2993	0.146824173953	0.99971341951632
OS06T0694800-01	787	570	1.2042	0.165761045787	0.963843352690651
OS06T0109600-01	1240	732	1.0472	0.0861441934915	0.884157680091481
OS12T0138050-00	837	717	1.2692	0.186192779936	0.991747062434777
OS06T0614050-00	2333	627	1.3212	0.08821105535	0.242006180192894
OS02T0640700-01	1732	1569	1.2619	0.129884352673	0.999837349846639
OS04T0566500-04	3744	3306	0.9689	0.0768687324652	0.999999962789442
OS01T0589500-02	978	603	0.8839	0.112178861446	0.868351907933351
OS03T0851900-01	2104	1842	0.9595	0.0756107217105	0.999861351424845
OS09T0103500-01	1569	1347	0.7389	0.122658508569	0.99873612224168
OS07T0214600-01	647	474	1.0719	0.139720946732	0.904964219185692
OS08T0531900-01	1177	552	0.9953	0.11177651525	0.7481152753966
OS05T0299700-01	2359	525	0.8152	0.161625297542	0.222725394290682
OS02T0294700-01	2809	1974	0.9579	0.0887327829465	0.999801278606001
OS02T0173650-00	270	126	1.3079	0.158153068927	0.692031797979653
OS06T0645600-00	1599	915	1.2884	0.131650797136	0.975752497875113
OS06T0596300-01	2973	1074	1.1332	0.106526500692	0.763298192784235
OS03T0820700-01	1606	729	1.3191	0.122042958935	0.881409212364965
OS02T0141300-01	3309	2991	1.0157	0.0921698360835	0.999999868576709
OS06T0265000-01	2264	1776	1.1008	0.0955242451005	0.99978202753709
OS06T0264300-02	1567	1242	1.1592	0.174708440226	0.99916853370546
OS01T0347000-01	3248	2616	0.8957	0.101994074149	0.999997628641392
OS04T0638100-01	1421	1335	1.3334	0.149802577466	0.99964332161144
OS08T0286100-00	1299	1296	1.1586	0.0954568692098	0.998899881955391
OS03T0183000-03	1195	699	1.1241	0.156966009756	0.959087353504105
OS06T0617800-01	2634	1164	1.1569	0.0814868637995	0.909725424991674
OS05T0116000-02	1364	1080	1.3134	0.113242512568	0.995139573887962
OS09T0483200-00	534	423	1.2445	0.137943462989	0.902843130925857
OS01T0936700-02	668	603	1.2502	0.219258451164	0.991834597830934
OS03T0208900-01	1729	1248	1.1734	0.0518219222727	0.990602602147377
OS04T0475500-01	1124	687	1.2541	0.148470408391	0.960748825347931
OS12T0169600-01	1546	570	0.6452	0.045776972227	0.250627629723069
OS12T0576700-01	2018	1836	0.912	0.0789724636008	0.999882870546674
OS11T0197433-00	347	264	1.2184	0.113052482929	0.712748555329542
OS05T0361900-04	2068	387	0.9549	0.0951060830479	0.0622284406365961
OS12T0468300-00	756	756	1.092	0.0707180427004	0.959137767791614
OS05T0355300-01	1010	717	0.8508	0.14715856591	0.965184619512878
OS08T0386700-01	1776	1032	0.9291	0.0969040641218	0.964864661649756
OS09T0429400-00	2805	2805	0.8976	0.0605805136421	0.999999646120911
OS06T0692100-01	3270	2331	1.3072	0.125762232258	0.999988042105235
OS07T0239400-01	1326	648	1.2528	0.105243216057	0.83918558324447
OS06T0488125-00	1855	807	1.1917	0.118483747955	0.867632920649364
OS10T0577600-01	3295	2577	0.8896	0.0935831007863	0.999995748921243
OS05T0498500-01	754	243	1.0701	0.0706624836675	0.250523533716145
OS09T0570300-01	1235	951	1.277	0.0843060417399	0.982575209305257
OS10T0182000-01	3212	3000	1.1625	0.097464485992	0.999999922699232
OS05T0147901-00	1285	537	1.2726	0.127708579739	0.775106366195191
OS01T0301300-01	1393	417	0.4753	0.0106134918469	0.0597599557729372
OS10T0541700-00	1576	936	0.5713	0.0299927236634	0.819936210703918
OS04T0496400-01	1938	1431	1.1164	0.108923834608	0.998643150337895
OS03T0754200-01	3930	195	1.0333	0.0609047845377	9.76421229383539e-05
OS12T0220800-01	1012	258	0.9395	0.0857440606956	0.190679412557702
OS04T0473025-00	495	276	0.5987	-0.0118925255893	0.112947306797776
OS06T0157700-00	847	540	1.0745	0.0691742412212	0.752848327288917
OS08T0273000-01	2640	636	1.0755	0.043799320944	0.0581066940248801
OS05T0474500-01	1786	1533	1.0726	0.0806186261722	0.999309577084872
OS12T0538900-01	3093	2790	1.0278	0.117922601635	0.999999737203747
OS10T0163290-00	765	765	1.2376	0.073255926101	0.967277042497496
OS07T0215050-00	938	591	1.3064	0.0693588998543	0.82281168990668
OS07T0586200-02	1110	609	1.1942	0.144193733231	0.921172083204134
OS11T0609600-01	2438	603	0.9001	0.0329487518686	0.050864576602173
OS09T0410125-00	969	879	1.019	0.0970283166658	0.98288433563168
OS12T0545400-00	1656	1179	1.2094	0.10882022852	0.994903532013538
OS02T0562100-00	873	873	1.2438	0.0782603664932	0.983909956123164
OS11T0544600-02	1266	1140	1.2096	0.122926982827	0.997807764981408
OS10T0466100-00	754	705	0.7766	0.0927696664142	0.944175392154007
OS09T0463800-01	595	165	0.6183	0.145142680588	0.377920456684616
OS02T0328600-01	1825	396	0.8214	0.0319841959507	0.0366501600600496
OS12T0556300-01	2153	1794	1.1752	0.12519006783	0.999919026939693
OS03T0138000-01	2719	2016	0.8867	0.0753262419062	0.999847458469583
OS03T0388000-01	1102	618	0.7815	0.0765492791025	0.732903306040675
OS10T0490900-00	1013	540	1.2786	0.130991240597	0.877595274387182
OS07T0188050-00	422	267	0.8768	0.0405796054621	0.309103155811325
OS01T0715000-01	854	96	0.5674	-0.00843320580432	0.0125085460553356
OS12T0156866-00	1960	1803	1.3316	0.121665851873	0.999956262277301
OS05T0210100-01	1551	1113	1.2442	0.088863306344	0.990692730512231
OS08T0485800-01	834	414	1.158	0.120383181469	0.742936363144598
OS10T0387201-00	597	291	1.3002	0.187379812571	0.868826412856857
OS04T0615600-01	618	576	1.2181	0.126540354008	0.955752417719225
OS01T0614700-01	1333	933	1.0952	0.161652828315	0.991939751764046
OS02T0332200-01	2080	1605	1.321	0.126908296889	0.99972487384153
OS06T0287500-01	4244	924	0.4933	0.00412177029502	0.00434719663854951
OS02T0113200-00	1475	1452	1.0451	0.084610418385	0.999383255310394
OS06T0136500-01	2981	252	0.9857	0.0429574087051	0.00104507876802009
OS11T0512100-01	1273	834	1.1086	0.115628851701	0.966408923443621
OS09T0529700-01	1647	759	1.0897	0.110594966846	0.851736445981222
OS02T0794700-02	1217	810	1.2211	0.132891481822	0.975739180184614
OS01T0744200-01	1276	1203	1.1938	0.152350199535	0.999182190000928
OS07T0559100-01	578	222	1.2542	0.139304799306	0.621904639245732
OS10T0566800-01	1763	1023	1.3098	0.14779486277	0.988950663043881
OS01T0253900-02	2122	1791	0.9962	0.108275542769	0.999878407819822
OS07T0559700-00	1593	1593	1.3526	0.131403174335	0.99991403597601
OS05T0225800-01	1132	765	1.2596	0.117457252432	0.964251862252421
OS06T0302000-01	1731	987	1.2918	0.137294795406	0.983308765502404
OS12T0204200-01	1264	498	0.6878	0.103521457741	0.502821675583951
OS06T0543500-00	1283	408	1.2258	0.0776615117936	0.326084582574794
OS03T0237250-00	1736	1317	1.2488	0.141519561979	0.998911244861065
OS09T0493800-02	1670	1188	1.0618	0.0986446546831	0.993336579250543
OS02T0707900-02	770	534	1.2166	0.0909160763231	0.852148010569261
OS08T0178300-01	2205	1659	1.0496	0.12840847909	0.999703446346698
OS01T0914400-01	699	372	0.6209	0.0238404999041	0.246326023847398
OS07T0107583-00	678	165	1.2534	0.132806389675	0.420001545096672
OS03T0200100-00	869	117	1.2888	0.127017366291	0.22453887814063
OS06T0319850-00	599	255	1.0032	0.0635326825101	0.30728350873338
OS01T0764600-01	2360	465	1.0082	0.0884371195915	0.055854665070797
OS02T0685900-00	2171	1650	1.2359	0.0939776951927	0.999551553748111
OS04T0455700-00	678	678	1.139	0.132279522744	0.978079105662346
OS07T0484500-01	1118	831	1.1291	0.132897258879	0.982331739862331
OS03T0746000-01	1777	537	0.964	0.0730231100177	0.239668710855836
OS03T0854600-01	1359	1086	1.3098	0.0855775791726	0.992641216732727
OS02T0737401-01	703	168	1.1216	0.0924587744549	0.23649544242625
OS12T0545900-03	1035	327	0.8169	0.19157433544	0.684623229882557
OS08T0398450-00	373	159	1.2191	0.0810776456963	0.361555798099014
OS06T0608800-03	2348	1248	0.8161	0.0671726051231	0.957835930890432
OS02T0612000-01	1056	450	1.1694	0.104286454771	0.637684319525683
OS04T0569300-01	1341	1029	1.2203	0.12058891292	0.993279450721055
OS06T0293000-00	896	858	1.3064	0.158776944729	0.99539527039799
OS07T0299800-01	2401	2022	1.0358	0.0935189937591	0.999956483189007
OS03T0568800-02	2392	2028	1.2211	0.128164981249	0.999981152974726
OS02T0520000-00	853	720	1.3064	0.160063446973	0.987394503350431
OS10T0321700-01	1650	954	1.2592	0.118502456686	0.974493375499016
OS11T0103150-00	2748	291	0.801	0.0780220473548	0.00385334854189063
OS06T0235850-01	1580	228	0.7704	0.00841875583244	0.0107059195834915
OS02T0235000-01	1830	390	0.9393	0.0645070498419	0.0651910206851822
OS05T0297850-01	424	219	1.1766	0.142889184134	0.696070326176652
OS04T0610700-02	2885	1020	1.0774	0.0667510419356	0.549615323196605
OS01T0106400-01	1206	945	1.2672	0.153095260767	0.994646318965741
OS04T0671200-01	2062	1464	1.1393	0.0917296492661	0.998176013078164
OS08T0316900-01	857	204	0.86	0.0194766998887	0.0609224132545925
OS07T0267200-01	1713	171	0.9172	0.0419876640559	0.00994602742662908
OS01T0830200-01	3408	1686	0.8309	0.105855976485	0.992614919333663
OS09T0103800-00	1563	1563	1.1737	0.0856499907095	0.999734641661319
OS05T0207900-02	2907	2571	1.1129	0.09236662553	0.999998521745143
OS08T0104700-02	3565	3144	0.9247	0.0617088604762	0.999999874757133
OS05T0593100-01	1680	1134	1.1606	0.0764231432448	0.985852778689645
OS08T0152366-00	1487	1083	1.2258	0.166863408173	0.997255039734267
OS03T0169700-01	1494	315	1.0609	0.0753928673625	0.101061246033757
OS06T0568600-01	1803	1512	1.2161	0.101713884682	0.999478545904329
OS06T0150500-01	1732	1404	1.2568	0.137054522555	0.999436079241117
OS01T0758400-01	1873	1278	0.6545	0.0232570679188	0.973277201257163
OS04T0644100-01	829	567	1.3064	0.17251170833	0.966710747643921
OS05T0559400-03	1188	846	1.1149	0.112601135203	0.973762501890005
OS09T0552900-00	290	174	1.321	0.0301282733628	0.263201858328861
OS06T0317200-01	537	309	1.1582	0.121834984284	0.715995405011179
